A,B,C,D,E,F
2.113136292,66.86071777,501.368,,9.699264526,159.9200287
1.994854093,69.58069611,501.52,,4.78414011,159.9985809
1.883665085,71.94261169,501.672,,3.837145567,159.7977905
1.758425593,73.34449005,501.824,,3.572811842,159.5526123
1.696347117,71.91669464,501.976,,3.593693733,159.4758301
1.655433774,70.89015961,502.128,,3.111794472,159.490387
1.641988397,71.7051239,502.28,,2.165931463,159.4899902
1.600092173,73.16678619,502.432,,1.498314142,159.4807892
1.530632377,73.45475006,502.584,,1.196489215,159.4715729
1.463571549,72.9394455,502.736,,1.104400039,159.4900971
1.422439694,72.70727539,502.888,,1.094928026,159.4762726
1.413921714,71.72491455,503.04,,1.090865612,159.4899445
1.415535569,70.75415802,503.192,,1.088452697,159.4901276
1.416385293,70.73130798,503.344,,1.090503097,159.4809265
1.417540908,71.04281616,503.496,,1.094286561,159.4717255
1.417456627,69.14935303,503.648,,1.097362161,159.4896545
1.417091727,67.80706024,503.8,,1.105595827,159.4868469
1.416451573,68.17735291,503.952,,1.113018394,159.4730377
1.419199705,70.99205017,504.104,,1.121047258,159.4894409
1.425380826,74.21845245,504.256,,1.123073459,159.4769287
1.431873679,74.7716217,504.408,,1.121216297,159.4892883
1.434996963,71.93457794,504.56,,1.121560693,159.48703
1.43422842,66.86236572,504.712,,1.117200017,159.4732208
1.431336045,63.98880386,504.864,,1.113365889,159.479187
1.428010583,64.54348755,505.016,,1.105022073,159.4929962
1.427048445,65.66144562,505.168,,1.098921299,159.490448
1.426603437,66.22264099,505.32,,1.099181294,159.481247
1.423799992,66.9267273,505.472,,1.105859041,159.4720306
1.421347976,67.96339417,505.624,,1.111625433,159.4887085
1.419218302,68.04479218,505.776,,1.111662149,159.4776459
1.42173481,67.83001709,505.928,,1.112655163,159.4885712
1.422485232,69.14630127,506.08,,1.115582705,159.4832306
1.421487927,69.46364594,506.232,,1.109673739,159.4634094
1.421309471,70.38092041,506.384,,1.101715803,159.4435883
1.423080087,71.20776367,506.536,,1.100059629,159.459259
1.425204396,71.47063446,506.688,,1.114938855,159.447525
1.425398231,69.79541779,506.84,,1.136900067,159.4590912
1.425199032,67.3145752,506.992,,1.150364518,159.4476929
1.426949501,67.36260223,507.144,,1.161141992,159.4427795
1.430629253,69.2652359,507.296,,1.175241709,159.4507294
1.433599949,69.24442291,507.448,,1.19963491,159.4586792
1.436241746,68.75086975,507.6,,1.206743479,159.4666443
1.437775373,67.92983246,507.752,,1.180985808,159.4587097
1.434328318,68.8364563,507.904,,1.135416865,159.4427948
1.433292151,69.68389893,508.056,,1.098664761,159.4479065
1.43007803,71.25988007,508.208,,1.07405591,159.4638214
1.429573894,70.91334534,508.36,,1.066311479,159.4484406
1.427700043,68.18082428,508.512,,1.068487883,159.438324
1.426996827,65.44928742,508.664,,1.077383399,159.4397583
1.424366474,63.43766785,508.816,,1.082863808,159.4411926
1.420805216,56.07824326,508.968,,1.086629629,159.4389343
1.417849422,47.53291702,509.12,,1.088588238,159.4425049
1.416719198,46.90389252,509.272,,1.0898,159.4504547
1.416929126,46.55579376,509.424,,1.0898,159.4584198
1.416381717,46.76701737,509.576,,1.09015429,159.4663696
1.41925168,47.35346985,509.728,,1.089780092,159.4592438
1.420249105,47.233181,509.88,,1.085177183,159.4433289
1.420899987,45.1872139,510.032,,1.077397704,159.4330597
1.420556068,43.50020599,510.184,,1.070271373,159.4261627
1.419899941,43.03111649,510.336,,1.069061518,159.4192505
1.419899941,45.34874344,510.488,,1.076840997,159.4123535
1.418925643,47.3322258,510.64,,1.083982229,159.4182129
1.417000055,49.62952042,510.792,,1.087900043,159.4320221
1.417628527,49.57442856,510.944,,1.090148807,159.434021
1.419228077,47.61817932,511.096,,1.098866582,159.4284973
1.4211694,45.34650421,511.248,,1.10424304,159.4229736
1.423799992,44.06026077,511.4,,1.092018127,159.41745
1.423511863,43.70072174,511.552,,1.075392962,159.4119263
1.422899962,43.93916321,511.704,,1.065717578,159.4179535
1.421639681,44.42502213,511.856,,1.067029953,159.4317627
1.41830647,45.35883713,512.008,,1.06746304,159.4386597
1.416380525,47.11079788,512.16,,1.064811587,159.4408112
1.416811824,46.93584824,512.312,,1.067399979,159.4391785
1.422391772,45.24888229,512.464,,1.07945776,159.4377136
1.425498247,43.50242233,512.616,,1.087201834,159.4382477
1.424500942,43.93215942,512.768,,1.085566163,159.4387817
1.421784043,45.38526535,512.92,,1.077490091,159.4393158
1.416706204,45.56184387,513.072,,1.070153594,159.4398499
1.414864063,43.31178665,513.224,,1.067691326,159.4403839
1.411811113,41.05892181,513.376,,1.066696644,159.440918
1.410556197,41.28550339,513.528,,1.061384201,159.4414673
1.409738779,41.37718201,513.68,,1.055566907,159.4392853
1.41194284,40.7977066,513.832,,1.047619104,159.427063
1.414100051,39.16426086,513.984,,1.047428608,159.4086609
1.414899349,38.18965149,514.136,,1.050701499,159.3902435
1.417791605,39.18442917,514.288,,1.057556152,159.4125519
1.420170307,40.85525513,514.44,,1.062770367,159.4210358
1.420364738,42.66485214,514.592,,1.062188268,159.3913269
1.418900013,44.33522034,514.744,,1.058334827,159.3782044
1.418663859,45.04129791,514.896,,1.056077719,159.378891
1.417740345,45.36226654,515.048,,1.050786614,159.3795929
1.417257071,44.9581337,515.2,,1.046639562,159.3802795
1.419246912,46.21722031,515.352,,1.042999983,159.3809815
1.423126817,48.37736511,515.504,,1.04446137,159.3816834
1.425022364,50.53487015,515.656,,1.055631995,159.3797913
1.428946734,53.79682159,515.808,,1.088486671,159.3789215
1.432312369,54.9946785,515.96,,1.146723628,159.381012
1.442066312,55.75366974,516.112,,1.230724573,159.379837
1.452649951,55.52906036,516.264,,1.323070645,159.378067
1.479170799,56.58943176,516.416,,1.444057465,159.3785248
1.528715491,57.33112335,516.568,,1.565321565,159.3789825
1.621459484,57.0114708,516.72,,1.730137348,159.3794556
1.744116426,55.4414711,516.872,,1.88047719,159.3799133
1.828025937,53.87129211,517.024,,2.000531912,159.3803864
1.875069141,54.786129,517.176,,1.940529108,159.3808441
1.856808662,57.01164246,517.328,,1.790840983,159.3813019
1.818392992,59.6016655,517.48,,1.691047311,159.3817749
1.781630516,59.92189789,517.632,,1.705930233,159.3799439
1.774588227,58.30898285,517.784,,1.836687446,159.3788452
1.833368063,57.62501526,517.936,,2.040335655,159.3809357
1.88673687,58.59194183,518.088,,2.168697357,159.3799744
1.93080163,58.40434265,518.24,,2.102518797,159.3780518
1.91349566,58.12072754,518.392,,1.853619337,159.3785095
1.832275868,58.32606888,518.544,,1.79377687,159.3789673
1.725261688,60.08041,518.696,,1.720267773,159.3794403
1.704566956,60.78676224,518.848,,1.760551691,159.3798981
1.742876649,62.93696213,519,,1.72668612,159.3803711
1.838614702,64.39575195,519.152,,1.854055166,159.3808289
1.889439344,64.7881546,519.304,,1.998906612,159.3812866
1.92107439,63.01943207,519.456,,2.136665106,159.3817596
1.958659649,59.24412155,519.608,,2.256387472,159.3800812
1.992138743,57.0288353,519.76,,2.256621599,159.3787842
2.01013422,56.31394959,519.912,,2.268213511,159.3808594
2.011024237,56.72965622,520.064,,2.161770821,159.3801117
2.002972603,60.41114044,520.216,,2.058696032,159.3784485
1.978022337,63.88224411,520.368,,1.977043629,159.379837
1.96957612,65.78915405,520.52,,2.003144741,159.3812256
1.964696765,64.46112061,520.672,,2.064373255,159.3801575
1.971135378,63.89148331,520.824,,2.140753508,159.3780518
1.984784246,66.44164276,520.976,,2.11155653,159.3785706
1.99295783,67.85766602,521.128,,2.071401835,159.3790894
1.995610476,69.10831451,521.28,,2.13475132,159.3796234
1.987150669,67.83312988,521.432,,2.165266037,159.3801422
1.984729886,66.23506165,521.584,,2.20388031,159.380661
1.973477006,62.13739395,521.736,,2.12298131,159.3811798
1.95952487,59.91243744,521.888,,2.094816446,159.3816986
1.952006817,60.99052429,522.04,,2.142945766,159.3802643
1.959142327,62.64971542,522.192,,2.19227314,159.370163
1.974266052,62.99515915,522.344,,2.254298449,159.3517304
1.984268427,61.03358841,522.496,,2.220760346,159.333313
1.983528853,60.27021408,522.648,,2.228869915,159.3449707
1.983289242,61.80117035,522.8,,2.191160679,159.3536987
1.975476384,62.88623428,522.952,,2.173352242,159.318634
1.970827222,62.5687027,523.104,,2.052466631,159.3196716
1.940396071,64.02217102,523.256,,2.005614996,159.3207245
1.916184902,67.16184998,523.408,,1.987383008,159.3217621
1.902525902,70.45368958,523.56,,1.967621207,159.320755
1.906020522,71.4108429,523.712,,1.929530025,159.3198395
1.919899941,70.24804688,523.864,,1.960592389,159.3207855
1.920309424,71.05838776,524.016,,2.115385056,159.3183594
1.925498605,73.96890259,524.168,,2.284397602,159.3187408
1.941476464,76.93585968,524.32,,2.289254904,159.3191071
1.952054143,81.63767242,524.472,,2.235639095,159.3194885
1.960739136,83.52368927,524.624,,2.209794521,159.31987
1.968067169,83.49095917,524.776,,2.200458527,159.3202515
1.971397758,80.92073059,524.928,,2.215684176,159.3206329
1.977736235,80.86391449,525.08,,2.242922068,159.3210144
1.969540119,82.25180817,525.232,,2.236236572,159.3213959
1.967482209,84.35324097,525.384,,2.296098709,159.3217773
1.964822173,84.70904541,525.536,,2.270828247,159.3221588
1.976415038,83.07631683,525.688,,2.326649189,159.3216553
1.986660242,77.79047394,525.84,,2.267013311,159.3195648
1.991618037,75.80021668,525.992,,2.330123663,159.3183441
1.997099996,74.05541229,526.144,,2.283162355,159.3187256
1.997421145,74.58309174,526.296,,2.332186222,159.3191071
2.001566172,71.16313934,526.448,,2.27991724,159.3194885
1.99480474,68.94126892,526.6,,2.287801981,159.3198547
1.989579678,69.15943909,526.752,,2.269291878,159.3202362
1.978581786,71.98511505,526.904,,2.298729897,159.3206177
1.962952733,75.96379089,527.056,,2.330509424,159.3209992
1.963850021,75.58441925,527.208,,2.337316513,159.3213806
1.963686109,80.65825653,527.36,,2.327768564,159.3217621
1.979325771,79.06112671,527.512,,2.360095978,159.3221436
1.975557923,84.19369507,527.664,,2.373605728,159.3217316
1.974371553,80.27419281,527.816,,2.340725184,159.3196411
1.968906522,85.40766144,527.968,,2.313349962,159.3183289
1.971897602,84.73147583,528.12,,2.283667564,159.3187103
1.977807879,87.55364227,528.272,,2.297882795,159.3190918
1.987328768,81.48382568,528.424,,2.327707291,159.3194733
1.988247752,80.75305939,528.576,,2.314754725,159.3198547
1.985951781,73.88245392,528.728,,2.324015617,159.3202362
1.971553683,74.13981628,528.88,,2.316891432,159.3206024
1.964564562,71.9571991,529.032,,2.340446711,159.3209839
1.952177882,72.97518158,529.184,,2.375031471,159.3213654
1.956988096,71.38873291,529.336,,2.376896381,159.3217468
1.956089377,67.77576447,529.488,,2.368649721,159.3221283
1.955084205,70.20925903,529.64,,2.326045752,159.3218079
1.953110457,72.94768524,529.792,,2.306620598,159.3197022
1.955102682,74.85955048,529.944,,2.310428143,159.3161163
1.956099987,68.93782044,530.096,,2.283200026,159.3086853
1.951213241,65.94563294,530.248,,2.26175642,159.3012543
1.94433713,65.50234985,530.4,,2.16849184,159.2938232
1.93368578,68.47592926,530.552,,2.142800093,159.2863922
1.925883293,67.88167572,530.704,,2.115487814,159.2789612
1.932512045,68.30683899,530.856,,2.196222544,159.2715302
1.944117665,64.99011231,531.008,,2.228008509,159.2640991
1.950092316,67.26916504,531.16,,2.184424877,159.2589722
1.924351811,66.0274353,531.312,,2.166369438,159.2603607
1.920968294,67.64774323,531.464,,2.158384323,159.2617645
1.919926167,66.10509491,531.616,,2.30270505,159.2622681
1.9540838,65.09136963,531.768,,2.319904566,159.2601776
1.964494228,64.15455627,531.92,,2.365722656,159.2586975
1.961999178,62.25372696,532.072,,2.308667898,159.259079
1.955350518,63.36130524,532.224,,2.29725647,159.2594605
1.941941142,57.9434166,532.376,,2.26126051,159.2598419
1.961993814,58.4371872,532.528,,2.263536215,159.2602234
1.961944819,55.06592178,532.68,,2.284240723,159.2606049
1.98610425,59.40284348,532.832,,2.303778648,159.2609863
1.991956353,60.21892548,532.984,,2.273155689,159.2613678
1.995895743,60.63502121,533.136,,2.28817606,159.2617493
1.993359566,61.83751297,533.288,,2.285415173,159.2621307
1.997723103,57.57749558,533.44,,2.380839109,159.2625122
1.998939633,61.86392593,533.592,,2.432554007,159.2618866
2.007245779,63.09329605,533.744,,2.395302296,159.2587585
2.009668589,64.5869751,533.896,,2.29402256,159.2594605
2.000669479,62.73682022,534.048,,2.128794193,159.2601471
1.980954886,62.04214096,534.2,,2.071858168,159.260849
1.969587684,65.58972168,534.352,,2.01049304,159.2615509
1.967876315,66.85645294,534.504,,2.058191776,159.2622376
1.968721032,66.24669647,534.656,,2.060657501,159.2619629
1.968799949,66.35970306,534.808,,2.092835903,159.2587738
1.974113464,64.08469391,534.96,,2.120707035,159.259613
1.974599958,66.2158432,535.112,,2.208675623,159.2604523
1.980793715,65.81129456,535.264,,2.268349171,159.2612763
1.998292327,68.92865753,535.416,,2.308908224,159.2621155
2.023000479,67.21255493,535.568,,2.291311026,159.2620239
2.021878958,71.28865814,535.72,,2.274924755,159.258728
2.007456541,73.83175659,535.872,,2.287533999,159.2594299
2.009400368,76.81128693,536.024,,2.297806978,159.2601318
2.020270586,75.78263855,536.176,,2.354738236,159.2608185
2.018020392,75.06734467,536.328,,2.31248641,159.2615204
2.012351275,75.88959503,536.48,,2.292719603,159.2622223
2.006555557,73.56091309,536.632,,2.239013672,159.2621002
2.000682831,75.01856995,536.784,,2.204803228,159.2587433
1.998236775,74.80918884,536.936,,2.218396902,159.2595825
2.001517296,80.85031128,537.088,,2.237845659,159.2604218
2.010504007,81.30393982,537.24,,2.288152218,159.261261
2.011699915,80.97685242,537.392,,2.252248049,159.262085
2.008301497,76.14477539,537.544,,2.263092041,159.2621765
2.007800102,72.07109833,537.696,,2.258823633,159.2587128
2.012909889,72.04967499,537.848,,2.291666269,159.2593994
2.017067432,73.42015076,538,,2.256401062,159.2601013
2.009164333,77.39091492,538.152,,2.238205671,159.2608032
2.001106739,80.57437134,538.304,,2.242994547,159.2615051
2.00171113,84.26147461,538.456,,2.300914526,159.2621918
2.005325794,85.71861267,538.608,,2.298898935,159.2622528
2.010830879,85.71559906,538.76,,2.286950588,159.2560425
2.010089636,85.26374817,538.912,,2.235520601,159.2362213
2.016392469,84.81773377,539.064,,2.234797955,159.2164002
2.011027813,86.22453308,539.216,,2.20344162,159.1992493
1.998292923,85.71256256,539.368,,2.154633522,159.2013397
1.984629273,86.76608276,539.52,,2.131764174,159.202713
1.980814219,83.34853363,539.672,,2.150099993,159.1990662
1.988570094,83.82094574,539.824,,2.206301212,159.1997681
1.999985933,79.19030762,539.976,,2.242676973,159.20047
1.997122765,77.25751495,540.128,,2.264204741,159.2011719
1.988024831,76.54750061,540.28,,2.278808355,159.2018738
1.967901945,80.54420471,540.432,,2.239548683,159.2025757
1.96308136,85.12158203,540.584,,2.203312635,159.2027893
1.96371603,89.04860687,540.736,,2.200483561,159.1990967
1.971789718,93.30850983,540.888,,2.259945393,159.2001343
1.97676301,96.76088715,541.04,,2.271859169,159.2011871
1.983886838,95.2275238,541.192,,2.250966549,159.20224
1.994022012,92.57833099,541.344,,2.192596436,159.2028503
2.005496979,86.28986359,541.496,,2.18757081,159.1990356
2.021888733,81.72306061,541.648,,2.178532839,159.199646
2.028511524,82.53317261,541.8,,2.199178457,159.2002411
2.035505056,85.97034454,541.952,,2.147601605,159.2008362
2.0293293,84.22254944,542.104,,2.132800102,159.2014465
2.022716522,83.85884857,542.256,,2.176014423,159.2020416
2.010709763,80.9347229,542.408,,2.247499943,159.2026367
1.995554686,81.64585877,542.56,,2.257578611,159.2029419
1.986880302,75.99965668,542.712,,2.207015276,159.190918
1.983060956,75.09214783,542.864,,2.178121328,159.0581513
1.988460541,77.15785217,543.016,,2.176830053,158.9253845
2.002357006,77.49391937,543.168,,2.221601725,158.7926178
2.020947695,74.88131714,543.32,,2.255465984,158.6394806
2.043395042,70.80859375,543.472,,2.276695967,158.1006928
2.053321362,74.07540894,543.624,,2.192910194,157.5630646
2.059129477,72.79747772,543.776,,2.158514977,156.9736481
2.060499907,70.09736633,543.928,,2.144325972,156.5239563
2.060499907,68.03001404,544.08,,2.146516562,156.6672211
2.062012196,72.7609787,544.232,,2.089363813,155.8529968
2.059561253,77.02761078,544.384,,2.043859959,153.9046326
2.060026407,79.47051239,544.536,,1.999994278,152.4491119
2.054664135,80.51437378,544.688,,1.951048017,154.1233978
2.051283598,77.93840027,544.84,,1.9362638,162.5509033
2.056594372,71.47496033,544.992,,1.981255412,163.1259003
2.0629673,67.20309448,545.144,,2.041139364,162.8016663
2.064500094,64.4389267,545.296,,2.026361227,162.2921448
2.064500094,66.78144074,545.448,,1.98906982,150.4994354
2.063035488,67.41735077,545.6,,1.964488149,150.7562408
2.0539639,68.75476074,545.752,,2.004603863,158.0044251
2.038006067,70.35746002,545.904,,2.018664599,157.7068634
2.030374289,71.15756226,546.056,,2.036000013,157.35112
2.033560038,70.81611633,546.208,,2.003518343,157.2911224
2.039372206,65.99412537,546.36,,1.987580895,155.6861115
2.040999889,63.31398392,546.512,,1.974044085,154.7358093
2.045212984,63.19184113,546.664,,1.973654628,162.8321991
2.05244875,65.08194733,546.816,,1.97417748,166.1978149
2.047754288,66.03398132,546.968,,1.990253568,167.9977875
2.036638975,68.90518951,547.12,,2.008820295,168.3136749
2.015333176,73.53565216,547.272,,2.057663202,164.4607697
1.987267613,79.5987854,547.424,,2.078933001,162.2828064
1.956718922,83.61320496,547.576,,2.059643984,165.2663422
1.922819972,83.58721161,547.728,,2.072500944,169.9251709
1.914801955,82.0184021,547.88,,2.11588335,175.9531403
1.918001413,83.00968933,548.032,,2.168589592,175.4331665
1.933686853,82.61286926,548.184,,2.146578312,173.9136353
1.954447269,82.63892365,548.336,,2.119514942,170.3579559
1.986906052,78.39559937,548.488,,2.0778718,167.01828
2.024904966,78.47974396,548.64,,2.064510822,164.3746796
2.055657148,74.75915527,548.792,,2.055836201,161.75914
2.07502389,72.54216003,548.944,,2.079737663,159.5979614
2.072238207,70.84062195,549.096,,2.083218098,159.2176971
2.057892084,72.71901703,549.248,,2.085930586,160.329361
2.043633699,74.64581299,549.4,,2.123666525,161.2926025
2.039099932,74.97899628,549.552,,2.19511795,160.8435516
2.035198212,76.28132629,549.704,,2.212315798,162.3773651
2.024176121,79.57218933,549.856,,2.194153547,164.3767548
2.013136625,83.72557068,550.008,,2.143930435,165.0050964
2.00725174,84.94248962,550.16,,2.098095417,165.9289398
2.005899906,83.71399689,550.312,,2.069366694,165.7167206
2.003371,83.57080841,550.464,,2.060499907,165.4195099
2.000708342,84.49865723,550.616,,2.069345474,166.1137085
2.003794432,85.03578186,550.768,,2.084231377,166.9414673
2.018389225,83.12349701,550.92,,2.073597431,167.1165314
2.027887583,82.39864349,551.072,,2.104362249,167.1328735
2.029299974,81.3943634,551.224,,2.16168046,167.1268311
2.025568247,81.67580414,551.376,,2.222399235,166.6373291
2.01603055,83.47034454,551.528,,2.244840145,168.8173828
1.999469519,84.57949829,551.68,,2.25394845,169.4662018
1.980583549,84.92960358,551.832,,2.232939005,170.1563263
1.965142369,83.98943329,551.984,,2.187625885,172.2116394
1.95393157,82.83316803,552.136,,2.127593279,173.3942413
1.946005583,83.34812927,552.288,,2.150943756,173.5570526
1.946963072,82.95352173,552.44,,2.233190537,174.6273346
1.954582691,83.36895752,552.592,,2.306206703,174.4370422
1.962141275,82.85810852,552.744,,2.342717171,174.9265595
1.968377471,80.91229248,552.896,,2.346022844,175.0464325
1.974805117,79.52130127,553.048,,2.356678963,173.800354
1.983390212,78.07318115,553.2,,2.352277517,171.684021
1.993164182,78.98316193,553.352,,2.351898432,170.2674255
2.001151085,80.76992798,553.504,,2.358591557,170.0020752
2.002773285,80.47158814,553.656,,2.36634016,169.1556549
1.99851656,77.79723358,553.808,,2.373403072,170.0177155
1.997804403,78.81048584,553.96,,2.377292872,170.4757538
1.997888327,80.52593231,554.112,,2.352620125,170.7294464
1.998206615,81.73770142,554.264,,2.324910164,170.5052643
1.993373752,78.81858063,554.416,,2.316137791,170.0033875
1.980810165,76.29712677,554.568,,2.309938431,168.1996918
1.963389874,76.7022934,554.72,,2.302116633,166.223938
1.951723933,77.94792175,554.872,,2.315564871,165.2243958
1.955351353,79.49755859,555.024,,2.323657513,164.8523712
1.955011129,81.94039917,555.176,,2.329144239,165.407196
1.942341209,82.28175354,555.328,,2.318293572,166.3710327
1.938813448,80.98120117,555.48,,2.313462257,166.8807831
1.952858448,78.56388855,555.632,,2.330139399,166.2483521
1.966239095,78.71067047,555.784,,2.343353033,165.5654602
1.971859217,81.54368591,555.936,,2.329313755,164.3658142
1.977401733,80.93125916,556.088,,2.301547289,164.8383942
1.993330717,75.9701767,556.24,,2.230988026,164.5860748
2.010284185,71.86885834,556.392,,2.191208363,164.2825012
2.020923615,70.43362427,556.544,,2.16209197,164.0150147
2.030699492,71.92134094,556.696,,2.157285214,163.4790192
2.04359436,73.13005829,556.848,,2.184973002,163.4245911
2.050800085,75.48971558,557,,2.189500094,164.3049011
2.045578718,77.21311188,557.152,,2.170745134,164.4069214
2.035804749,77.05196381,557.304,,2.118035555,164.9626923
2.026083469,76.48488617,557.456,,2.097242594,164.4750214
2.026590824,77.03234863,557.608,,2.123830319,163.5632019
2.031199932,78.47844696,557.76,,2.197877646,163.3723602
2.031199932,76.60947418,557.912,,2.246906996,163.133316
2.024170876,75.3012619,558.064,,2.245198965,164.1637726
2.009578705,75.26439667,558.216,,2.23395586,165.7673187
1.989467382,77.14927673,558.368,,2.230680466,166.3484039
1.970067382,79.11818695,558.52,,2.232256651,166.9273377
1.962393403,80.14322662,558.672,,2.218673229,167.9087067
1.969308376,82.66543579,558.824,,2.217838526,168.0521698
1.983417988,83.06052399,558.976,,2.249119282,168.9047699
1.992144823,82.18783569,559.128,,2.262733221,170.032547
1.997026444,81.10149384,559.28,,2.234473229,168.9004974
2.002910614,81.17336273,559.432,,2.169553518,168.082901
2.007814407,81.82047272,559.584,,2.109529257,167.6453705
2.009799957,80.7644577,559.736,,2.099600077,168.2306366
2.006933928,79.51777649,559.888,,2.139416456,169.667099
2.007668257,79.90163422,560.04,,2.206133366,171.0451202
2.01266098,81.09008789,560.192,,2.253966093,170.9056549
2.014607906,81.00832367,560.344,,2.275436878,170.7168274
2.011893749,79.77309418,560.496,,2.270644665,170.1634064
2.010587692,78.50687408,560.648,,2.26760006,169.4948578
2.011867523,77.08293152,560.8,,2.266660452,168.8914948
2.0070436,78.69091797,560.952,,2.252845764,168.7818604
2.003900051,81.60683441,561.104,,2.216511965,169.503479
2.006625176,83.13140869,561.256,,2.205858946,169.8589935
2.016047955,81.8112793,561.408,,2.233448029,170.0075989
2.019835711,78.99217987,561.56,,2.272862196,170.3534241
2.014736891,79.69957733,561.712,,2.294937372,170.245575
2.010177136,78.03427124,561.864,,2.277015209,170.5574646
2.007651091,76.90557098,562.016,,2.258100033,170.2687988
2.010648012,73.94451904,562.168,,2.213624954,170.0631104
2.014317751,73.01898193,562.32,,2.187909365,171.0795593
2.019320011,74.09935761,562.472,,2.214299917,172.6847229
2.016371012,75.31169891,562.624,,2.256771565,173.4478607
2.006401539,75.84195709,562.776,,2.292128563,174.0812683
2.001133919,73.45030975,562.928,,2.244488001,172.6278076
1.997460604,72.59729767,563.08,,2.179381609,171.5738373
1.988667607,74.18389893,563.232,,2.14706111,171.7122955
1.981400013,77.37827301,563.384,,2.134558201,172.7996826
1.989260435,79.15771484,563.536,,2.162703991,174.2922363
2.000840426,80.04988861,563.688,,2.177895546,174.880188
2.002793312,80.3398819,563.84,,2.204265356,173.5653992
2.001867056,81.9500885,563.992,,2.174776077,170.4056091
1.998999953,81.6750946,564.144,,2.137190104,167.7078857
1.997812271,78.44155121,564.296,,2.137406349,167.3759766
1.994919896,75.89180756,564.448,,2.14789319,167.9519653
1.991623402,75.76860046,564.6,,2.177013874,168.272171
1.99203074,78.83374023,564.752,,2.189066172,168.0393524
1.997655749,81.22740173,564.904,,2.178952932,166.64888
2.001545429,79.18151856,565.056,,2.148587704,164.9669952
2.000829697,77.85438538,565.208,,2.123183489,165.0451508
1.997233748,78.26830292,565.36,,2.15025115,164.4200134
2.003195286,81.84472656,565.512,,2.198003531,163.6491547
2.015050411,83.70025635,565.664,,2.198071718,162.9756317
2.024895191,80.62599182,565.816,,2.221494675,162.0845032
2.025091648,80.02981567,565.968,,2.204792738,161.644043
2.017794848,80.77295685,566.12,,2.196778059,162.52211
2.012450695,83.37628937,566.272,,2.178503037,163.3642883
2.015861988,83.29293823,566.424,,2.161653519,163.8217621
2.024570704,79.49108887,566.576,,2.166246414,163.3134155
2.03393507,78.34940338,566.728,,2.177102089,162.3397064
2.031625032,80.20063782,566.88,,2.210149288,162.3839264
2.018337965,84.22736359,567.032,,2.241137743,164.0097351
2.004498005,84.09762573,567.184,,2.218376398,165.7906952
2.002678156,83.24612427,567.336,,2.175944805,165.7073364
2.00598979,81.93359375,567.488,,2.147263765,165.0781097
2.008428335,83.3510437,567.64,,2.158489943,164.096817
2.002477169,86.38396454,567.792,,2.188994646,164.8066406
1.993049741,88.26644135,567.944,,2.21985364,166.0756073
